geonameid,name,asciiname,alternatenames,latitude,longitude,featureclass,featurecode,cc,cc2,admin1,admin2,admin3,admin4,population,dem,timezone,moddate
4046376,Lawrence Lake Dam,Lawrence Lake Dam,,32.67847,-96.5386,S,DAM,US,,TX,113,,,0,119,122,America/Chicago,2006-01-15
4046377,Beacon,Beacon,"Beacon,Virdie",31.7146,-86.82303,P,PPL,US,,AL,013,,,0,114,116,America/Chicago,2006-01-15
4046378,Little Campus,Little Campus,,30.27854,-97.73167,S,BLDG,US,,TX,453,,,0,167,172,America/Chicago,2006-01-15
4046379,Beacon Church,Beacon Church,,34.79259,-87.10029,S,CH,US,,AL,083,,,0,208,209,America/Chicago,2006-01-15
4046380,Little Cut,Little Cut,,27.96252,-97.06971,H,CHN,US,,TX,007,,,0,0,-9999,America/Chicago,2006-01-15
4046381,Beacon Hills,Beacon Hills,,33.45288,-86.7936,P,PPLX,US,,AL,073,,,0,338,345,America/Chicago,2007-02-14
4046382,Live Oak Elementary School,Live Oak Elementary School,,30.45576,-97.7689,S,SCH,US,,TX,491,,,0,268,273,America/Chicago,2006-01-15
4046383,Beacon Light Baptist Church,Beacon Light Baptist Church,,33.20873,-87.56612,S,CH,US,,AL,125,,,0,67,68,America/Chicago,2006-01-15
4046384,Los Angeles,Los Angeles,,28.46582,-99.00003,P,PPL,US,,TX,283,,,0,123,126,America/Chicago,2006-01-15
4046385,Beacon Point,Beacon Point,,33.364,-87.56862,P,PPLX,US,,AL,125,,,0,82,86,America/Chicago,2007-02-14
4046386,Lower Lake,Lower Lake,,29.55305,-96.33898,H,RSV,US,,TX,089,,,0,46,44,America/Chicago,2011-12-11
4046387,Beader Branch,Beader Branch,,31.08018,-86.75551,H,STM,US,,AL,053,,,0,54,67,America/Chicago,2006-01-15
4046388,Maranththa Assembly of God Church,Maranththa Assembly of God Church,,32.78624,-96.76444,S,CH,US,,TX,113,,,0,142,145,America/Chicago,2006-01-15
